lemma	category	level
chafarote	cds	inclusive
chagüite	cds	inclusive
chairo	dmc	inclusive
chairos	dmc	inclusive
chamaco	cds	inclusive
chamo	cds	inclusive
champa	or	inclusive
chanate	ps	inclusive
chandoso	an	inclusive
chantar	qas	conservative
chapucero	dmc	inclusive
chapón	cds	inclusive
chaqueta	qas	conservative
charca	cds	inclusive
charnego	ps	inclusive
charnegos	ps	inclusive
charo	dmc	inclusive
charocracia	dmc	inclusive
chele	qas	conservative
chicha	qas	conservative
chichar	qas	conservative
chichi	or	conservative
chichis	or	conservative
chicuela	cds	inclusive
chifurnia	cds	inclusive
chile	or	conservative
chilguete	qas	conservative
chilote	rci	inclusive
chilotes	rci	inclusive
chimar	qas	conservative
china	ps	inclusive
chinga	asm	conservative
chingada	qas	conservative
chingadazo	qas	conservative
chingadazos	qas	conservative
chingadera	qas	conservative
chingaderas	qas	conservative
chingado	qas	conservative
chingados	qas	conservative
chingamadral	qas	conservative
chingar	re	conservative
chingar la madre	qas	conservative
chingarle	qas	conservative
chingas	asm	conservative
chingatal	qas	conservative
chingazal	qas	conservative
chingo	qas	conservative
chingones	qas	conservative
chingos	qas	conservative
chingue y chingue	qas	conservative
chinguero	qas	conservative
chingón	qas	conservative
chino	ps	inclusive
chipuste	qas	conservative
chiquillaje	cds	inclusive
chiringuito	is	inclusive
chiringuitos	is	inclusive
chite	qas	conservative
chiviento	cds	inclusive
chivo	an	conservative
chocha	or	conservative
chochete	asf	conservative
chocho	or	conservative
chola	ps	inclusive
cholerear	ps	inclusive
cholero	ps	inclusive
cholifacio	ps	inclusive
cholo	ps	inclusive
cholos	ps	inclusive
chombo	ps	inclusive
chombos	ps	inclusive
chongo	pr	conservative
choni	is	inclusive
chonte	re	conservative
chontril	ps	inclusive
chopa	an	inclusive
chorear	re	conservative
chori	re	inclusive
choriceo	qas	conservative
choriza	re	conservative
chorizo	re	conservative
chorizos	re	conservative
choro	or	conservative
chorra	asm	conservative
chorras	asm	conservative
chorrear	qas	conservative
chorro	asm	conservative
chota	asm	conservative
chotas	asm	conservative
choto	an	conservative
chucha	asf	conservative
chuchada	qas	conservative
chuchas	asf	conservative
chucho	asf	conservative
chulunca	om	inclusive
chumino	asf	conservative
chumo	cds	inclusive
chunche	cds	inclusive
chunchucuyo	qas	conservative
chupacirios	dmc	inclusive
chupada	qas	conservative
chupamangas	qas	conservative
chupapollas	qas	conservative
chupar la polla	qas	conservative
chupatintas	pa	inclusive
chupe mantequilla de mi culo	qas	conservative
chupetón	qas	conservative
chupársela	qas	conservative
churria	qas	conservative
chusma	qas	inclusive
chusmas	qas	inclusive
chíngate	qas	conservative
chúntaro	ps	inclusive
chúpalo entonces	qas	conservative
cintajo	cds	inclusive
cipa	qas	conservative
cipayo	pa	inclusive
cipayos	pa	inclusive
cipote	asm	conservative
cipotes	asm	conservative
clavársela	qas	conservative
clítoris	qas	conservative
coger	asm	conservative
coger por los huevos	qas	conservative
cogida	qas	conservative
cogidas	qas	conservative
cogérsela con papel de fumar	qas	conservative
cojonazos	asm	conservative
cojones	asm	conservative
cojonudamente	qas	conservative
cojonudo	qas	conservative
cojudo	ddp	conservative
cojón	asm	conservative
cola	om	inclusive
colita	qas	inclusive
come palomas	dmc	inclusive
comeflor	dmc	inclusive
comegambas	dmc	inclusive
comemierda	cds	conservative
comepalomas	dmc	inclusive
comepipas	dmc	inclusive
comepollas	qas	conservative
comer	qas	conservative
comerse con patatas	cds	inclusive
comilón	svp	conservative
comistrajo	cds	inclusive
como el coño de la bernarda	qas	conservative
como el culo	qas	conservative
como las huevas	qas	conservative
como si las huevas	qas	conservative
comunacho	dmc	inclusive
comuñanga	dmc	inclusive
con dos cojones	qas	conservative
con el culo al aire	qas	conservative
concha	or	inclusive
concha de tu madre	qas	conservative
conchatumadre	qas	conservative
conchatumare	qas	conservative
concheto	dmc	inclusive
conchetumadre	qas	conservative
conchetumare	qas	conservative
conejo	or	conservative
congolombia	rci	inclusive
congolombiano	ps	inclusive
conguito	ps	inclusive
conguitos	ps	inclusive
cono	an	inclusive
consolador	qas	conservative
consoladores	qas	conservative
conspiranoia	dmc	inclusive
conspiranoico	dmc	inclusive
convenenciero	dmc	inclusive
coprofagía	qas	conservative
coquero	re	inclusive
corrida	qas	conservative
corridas	qas	conservative
corrillo	cds	inclusive
cortachurro	qas	conservative
cortarle los cojones	qas	conservative
costar un cojón	qas	conservative
covidiano	dmc	inclusive
covidiota	dmc	inclusive
covinazi	dmc	inclusive
coyoma	qas	conservative
coña	qas	inclusive
coñamentazón	qas	conservative
coñas	qas	inclusive
coñazo	qas	conservative
coñito	qas	conservative
coñitos	qas	conservative
coño	asf	conservative
coños	asf	conservative
coñoto	qas	conservative
coñón	qas	conservative
cresta	qas	conservative
creta	qas	conservative
crica	qas	conservative
criticadera	dmc	inclusive
cromo	cds	inclusive
cromos	cds	inclusive
cuacha	qas	conservative
cuadrilla	cds	inclusive
cuajado	cds	inclusive
cuarentones	ddf	inclusive
cuarentón	ddf	inclusive
cuartico	cds	inclusive
cuatro ojos	ddf	inclusive
cubanoide	ps	inclusive
cuca	asf	conservative
cuchara	qas	conservative
cuesco	qas	conservative
cuico	ps	inclusive
cuilio	re	inclusive
cuilío	re	inclusive
culada	qas	conservative
culamen	qas	conservative
culandrón	om	conservative
culear	asm	conservative
culera	qas	conservative
culerda	om	inclusive
culerdo	om	inclusive
culerdos	om	inclusive
culero	qas	conservative
culeros	qas	conservative
culiada	qas	conservative
culiado	qas	conservative
culiao	qas	conservative
culiaos	qas	conservative
culiar	qas	conservative
culipardo	rci	inclusive
culito	qas	conservative
culitos	qas	conservative
culo	asm	conservative
culo del mundo	qas	conservative
culos	asm	conservative
culote	qas	conservative
cultura de la cancelación	dmc	inclusive
cultureta	dmc	inclusive
cum	qas	conservative
cunillingus	qas	conservative
curcuncho	ddf	inclusive
curiche	ps	inclusive
currutaca	qas	conservative
cursiento	qas	conservative
cuñadismo	re	inclusive
cuñado	dmc	inclusive
cállate	cds	inclusive
cómeme el coño	qas	conservative
cómeme el rabo	qas	conservative
cómeme la polla	qas	conservative
cómeme los huevos	qas	conservative
córneo	qas	conservative
dar	qas	conservative
dar el coñazo	qas	conservative
dar por el culo	qas	conservative
dar verga	qas	conservative
darle al tema	qas	conservative
de cojones	qas	conservative
de coña	qas	conservative
de culo	qas	conservative
de la chingada	qas	conservative
de la verga	qas	conservative
de medio pelo	is	inclusive
de mierda	qas	conservative
de puta madre	qas	conservative
de todo a cien	is	inclusive
debilucho	ddf	inclusive
del carajo	qas	conservative
del culo	qas	conservative
del orto	qas	conservative
del tres al cuarto	is	inclusive
delgaducho	ddf	inclusive
delicada	dmc	inclusive
delicado	dmc	inclusive
derechoso	dmc	inclusive
descamisado	is	inclusive
descerebrado	ddp	inclusive
descerebrados	ddp	inclusive
descojonarse	qas	conservative
descoñetar	qas	conservative
descriteriado	ddp	inclusive
descubrir américa	qas	inclusive
descubriste américa	qas	inclusive
desempalmar	qas	conservative
desgraciada	cds	inclusive
desgraciado	cds	inclusive
desgraciados	cds	inclusive
desgranar	qas	conservative
despollarse	qas	conservative
despolle	qas	conservative
desturcar	qas	conservative
desviada	om	inclusive
desviado	om	inclusive
detonar	qas	conservative
devoratulas	qas	conservative
dictadorzuelo	dmc	inclusive
dios los cría y ellos se juntan	cds	inclusive
dique	qas	conservative
disparos unidos	qas	inclusive
doméstica	pa	inclusive
donde tengas la olla no metas la polla	qas	conservative
drogas	qas	conservative
duche	qas	conservative
echar la papilla	qas	conservative
echar la pava	qas	conservative
echarle cojones a algo	qas	conservative
echarle los calzones	qas	conservative
ecolojeta	dmc	inclusive
empalmado	qas	conservative
empalmar	qas	conservative
empedar	qas	conservative
emperrar	qas	conservative
empiltrarse	qas	conservative
empollar	cds	inclusive
empollón	dmc	inclusive
empotrable	qas	conservative
empotrador	qas	conservative
empotrar	qas	conservative
emputar	qas	conservative
emputarse	qas	conservative
emputecer	qas	conservative
emulapobre	is	inclusive
en la quinta puñeta	qas	conservative
en tiempos de guerra cualquier agujero es trinchera	qas	conservative
enchufista	dmc	inclusive
enchufársela	qas	conservative
encojonar	qas	conservative
encueratriz	pr	inclusive
enculador	qas	conservative
encular	om	conservative
energúmeno	ddp	inclusive
enmerdar	qas	conservative
enojado	svp	conservative
escoñar	qas	conservative
escoñetar	qas	conservative
escroto	qas	conservative
escuincle	cds	inclusive
espacio	qas	conservative
españistán	rci	inclusive
español	ps	inclusive
españolada	cds	inclusive
